name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,modified,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,GW
Hamza Choudhury,MID,Leicester,-1.2,0,0,0,0,0.0,287,0.0,0.0,0.0,0.0,51,0,0,0.0,0.0,2024-09-28T14:00:00Z,0,False,1,0,0,0,0.0,6,0,54852,0,2,4,0.0,0,26059.0,34027.0,7968.0,44.0,False,0.0,6.0
Wesley Fofana,DEF,Chelsea,2.0,0,0,7,0,0.5,189,0.0,0.0,0.0,1.11,54,2,0,1.5,12.6,2024-09-28T14:00:00Z,90,False,5,0,0,0,0.0,6,0,71098,1,2,4,2.0,0,-6344.0,6309.0,12653.0,45.0,True,1.0,6.0
Lucas Digne,DEF,Aston Villa,2.2,0,0,4,0,4.8,36,0.02,0.02,0.0,1.12,56,2,0,2.3,17.8,2024-09-29T13:00:00Z,83,False,10,0,0,0,0.0,6,0,839769,1,2,2,0.0,0,12028.0,92568.0,80540.0,46.0,False,1.0,6.0
Joe Aribo,MID,Southampton,0.2,0,0,8,0,4.7,452,0.02,0.04,0.02,0.41,52,0,0,1.5,5.8,2024-09-30T19:00:00Z,45,False,3,0,0,0,0.0,6,0,5489,0,1,3,4.0,1,-553.0,161.0,714.0,49.0,False,0.0,6.0
Fábio Ferreira Vieira,MID,Arsenal,0.0,0,0,0,0,0.0,1,0.0,0.0,0.0,0.0,51,0,0,0.0,0.0,2024-09-28T14:00:00Z,0,False,11,0,0,0,0.0,6,0,1387,0,2,4,0.0,0,-110.0,0.0,110.0,54.0,True,0.0,6.0
Guglielmo Vicario,GK,Spurs,3.0,0,0,31,1,0.0,508,0.0,0.0,0.0,0.96,57,0,0,1.9,19.0,2024-09-29T15:30:00Z,90,False,14,0,0,0,0.0,6,2,368235,1,3,0,0.0,6,-24201.0,9378.0,33579.0,50.0,False,0.0,6.0
Tony Yogane,MID,Brentford,0.0,0,0,0,0,0.0,661,0.0,0.0,0.0,0.0,53,0,0,0.0,0.0,2024-09-28T14:00:00Z,0,False,19,0,0,0,0.0,6,0,764,0,1,1,0.0,0,535.0,740.0,205.0,45.0,True,0.0,6.0
Nathan Fraser,FWD,Wolves,0.0,0,0,0,0,0.0,546,0.0,0.0,0.0,0.0,60,0,0,0.0,0.0,2024-09-28T16:30:00Z,0,False,12,0,0,0,0.0,6,0,297919,0,2,1,0.0,0,-41302.0,0.0,41302.0,45.0,True,0.0,6.0
Christian Walton,GK,Ipswich,-0.5,0,0,0,0,0.0,283,0.0,0.0,0.0,0.0,56,0,0,0.0,0.0,2024-09-29T13:00:00Z,0,False,2,0,0,0,0.0,6,0,20637,0,2,2,0.0,0,-1536.0,231.0,1767.0,44.0,True,0.0,6.0
Matthijs de Ligt,DEF,Man Utd,5.5,0,0,-1,0,0.5,593,0.01,0.18,0.17,4.59,57,3,0,2.7,18.2,2024-09-29T15:30:00Z,90,False,18,0,0,0,0.0,6,0,506426,1,3,0,8.0,1,44446.0,75586.0,31140.0,50.0,True,0.0,6.0
Jack Hinshelwood,MID,Brighton,4.7,0,0,6,0,14.0,126,0.02,0.02,0.0,4.16,54,4,0,1.7,0.8,2024-09-28T14:00:00Z,90,False,6,0,0,0,0.0,6,0,14917,1,2,4,2.0,2,7443.0,9431.0,1988.0,50.0,False,0.0,6.0
Antoine Semenyo,MID,Bournemouth,3.8,0,0,24,0,23.6,78,0.1,0.3,0.2,0.6,52,1,1,9.4,39.8,2024-09-30T19:00:00Z,88,False,17,0,0,0,0.0,6,0,1075028,1,1,3,31.0,7,432986.0,521955.0,88969.0,57.0,True,0.0,6.0
Will Dennis,GK,Bournemouth,0.5,0,0,0,0,0.0,599,0.0,0.0,0.0,0.0,52,0,0,0.0,0.0,2024-09-30T19:00:00Z,0,False,17,0,0,0,0.0,6,0,40463,0,1,3,0.0,0,292.0,3344.0,3052.0,40.0,True,0.0,6.0
Omari Giraud-Hutchinson,MID,Ipswich,2.5,1,1,22,0,12.6,274,0.02,0.04,0.02,0.82,56,2,0,4.3,21.0,2024-09-29T13:00:00Z,90,False,2,0,0,0,0.0,6,0,37535,1,2,2,9.0,6,-5717.0,694.0,6411.0,54.0,True,0.0,6.0
Dane Scarlett,FWD,Spurs,0.0,0,0,0,0,0.0,500,0.0,0.0,0.0,0.0,57,0,0,0.0,0.0,2024-09-29T15:30:00Z,0,False,14,0,0,0,0.0,6,0,10154,0,3,0,0.0,0,-652.0,0.0,652.0,45.0,False,0.0,6.0
Joe Lumley,GK,Southampton,-0.5,0,0,0,0,0.0,466,0.0,0.0,0.0,0.0,52,0,0,0.0,0.0,2024-09-30T19:00:00Z,0,False,3,0,0,0,0.0,6,0,30027,0,1,3,0.0,0,-1244.0,1877.0,3121.0,40.0,False,0.0,6.0
Dwight McNeil,MID,Everton,9.7,0,3,46,0,29.3,230,0.21,0.46,0.25,0.92,55,1,2,14.4,68.6,2024-09-28T14:00:00Z,82,False,7,0,0,0,0.0,6,0,307066,1,1,2,46.0,15,51525.0,127927.0,76402.0,55.0,True,0.0,6.0
Kim Ji-soo,DEF,Brentford,0.0,0,0,0,0,0.0,96,0.0,0.0,0.0,0.0,53,0,0,0.0,0.0,2024-09-28T14:00:00Z,0,False,19,0,0,0,0.0,6,0,24163,0,1,1,0.0,0,-259.0,1121.0,1380.0,40.0,True,0.0,6.0
Franco Umeh-Chibueze,MID,Crystal Palace,0.0,0,0,0,0,0.0,644,0.0,0.0,0.0,0.0,55,0,0,0.0,0.0,2024-09-28T14:00:00Z,0,False,8,0,0,0,0.0,6,0,2740,0,1,2,0.0,0,53.0,470.0,417.0,45.0,False,0.0,6.0
Andy Irving,MID,West Ham,0.3,0,0,0,0,0.0,576,0.0,0.0,0.0,0.0,53,0,0,0.0,0.0,2024-09-28T14:00:00Z,1,False,4,0,0,0,0.0,6,0,2664,0,1,1,0.0,0,-72.0,128.0,200.0,49.0,False,1.0,6.0
Karl Hein,GK,Arsenal,0.0,0,0,0,0,0.0,5,0.0,0.0,0.0,0.0,51,0,0,0.0,0.0,2024-09-28T14:00:00Z,0,False,11,0,0,0,0.0,6,0,4331,0,2,4,0.0,0,-325.0,0.0,325.0,40.0,True,0.0,6.0
Nathaniel Clyne,DEF,Crystal Palace,0.8,0,0,0,0,0.0,196,0.0,0.0,0.0,0.0,55,0,0,0.0,0.0,2024-09-28T14:00:00Z,0,False,8,0,0,0,0.0,6,0,12472,0,1,2,0.0,0,-617.0,384.0,1001.0,44.0,False,0.0,6.0
