name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,modified,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,GW
Alex Scott,MID,Bournemouth,1.6,0,0,11,0,12.8,77,0.01,0.01,0.0,1.02,6,1,0,3.6,22.8,2024-08-17T14:00:00Z,62,False,16,0,0,0,0.0,1,0,4339,1,1,1,0.0,2,0.0,0.0,0.0,50.0,False,0.0,1.0
Carlos Miguel dos Santos Pereira,GK,Nott'm Forest,2.2,0,0,0,0,0.0,427,0.0,0.0,0.0,0.0,6,0,0,0.0,0.0,2024-08-17T14:00:00Z,0,False,3,0,0,0,0.0,1,0,33324,0,1,1,0.0,0,0.0,0.0,0.0,45.0,True,0.0,1.0
Tomiyasu Takehiro,DEF,Arsenal,0.0,0,0,0,0,0.0,22,0.0,0.0,0.0,0.0,2,0,0,0.0,0.0,2024-08-17T14:00:00Z,0,False,20,0,0,0,0.0,1,0,8462,0,0,2,0.0,0,0.0,0.0,0.0,50.0,True,0.0,1.0
Malcolm Ebiowei,MID,Crystal Palace,0.0,0,0,0,0,0.0,197,0.0,0.0,0.0,0.0,8,0,0,0.0,0.0,2024-08-18T13:00:00Z,0,False,4,0,0,0,0.0,1,0,716,0,1,2,0.0,0,0.0,0.0,0.0,45.0,False,0.0,1.0
Ben Brereton Díaz,MID,Southampton,1.0,0,0,-2,0,14.0,584,0.02,0.32,0.3,0.25,5,1,0,3.3,2.6,2024-08-17T14:00:00Z,70,False,15,0,0,0,0.0,1,0,66244,1,0,1,16.0,1,0.0,0.0,0.0,55.0,False,1.0,1.0
Pau Torres,DEF,Aston Villa,1.9,0,0,17,0,1.9,52,0.01,0.01,0.0,2.46,7,1,0,3.1,29.2,2024-08-17T16:30:00Z,90,False,19,0,0,0,0.0,1,0,122710,1,2,1,0.0,2,0.0,0.0,0.0,45.0,False,0.0,1.0
Joel Ward,DEF,Crystal Palace,1.9,0,0,0,0,0.0,215,0.0,0.0,0.0,0.0,8,0,0,0.0,0.0,2024-08-18T13:00:00Z,0,False,4,0,0,0,0.0,1,0,12469,0,1,2,0.0,0,0.0,0.0,0.0,45.0,False,0.0,1.0
Will Lankshear,FWD,Spurs,1.5,0,0,0,0,0.0,609,0.0,0.0,0.0,0.0,10,0,0,0.0,0.0,2024-08-19T19:00:00Z,0,False,11,0,0,0,0.0,1,0,17747,0,1,1,0.0,0,0.0,0.0,0.0,45.0,False,0.0,1.0
Hwang Hee-chan,MID,Wolves,1.3,0,0,14,0,16.3,550,0.11,0.11,0.0,1.24,2,2,0,2.6,6.0,2024-08-17T14:00:00Z,90,False,1,0,0,0,0.0,1,0,83019,1,0,2,4.0,2,0.0,0.0,0.0,65.0,False,0.0,1.0
Mikey Moore,MID,Spurs,1.5,0,0,0,0,0.0,610,0.0,0.0,0.0,0.0,10,0,0,0.0,0.0,2024-08-19T19:00:00Z,0,False,11,0,0,0,0.0,1,0,8413,0,1,1,0.0,0,0.0,0.0,0.0,45.0,False,0.0,1.0
Hákon Valdimarsson,GK,Brentford,1.0,0,0,0,0,0.0,109,0.0,0.0,0.0,0.0,8,0,0,0.0,0.0,2024-08-18T13:00:00Z,0,False,7,0,0,0,0.0,1,0,372148,0,1,2,0.0,0,0.0,0.0,0.0,40.0,True,0.0,1.0
Alex Paulsen,GK,Bournemouth,0.0,0,0,0,0,0.0,75,0.0,0.0,0.0,0.0,6,0,0,0.0,0.0,2024-08-17T14:00:00Z,0,False,16,0,0,0,0.0,1,0,5098,0,1,1,0.0,0,0.0,0.0,0.0,40.0,False,0.0,1.0
João Victor Gomes da Silva,MID,Wolves,0.6,0,0,11,0,3.2,553,0.02,0.02,0.0,1.24,2,2,0,1.2,8.6,2024-08-17T14:00:00Z,83,False,1,0,0,0,0.0,1,0,11511,1,0,2,0.0,1,0.0,0.0,0.0,50.0,False,1.0,1.0
Cole Palmer,MID,Chelsea,2.4,0,0,18,0,37.8,182,0.19,0.26,0.07,0.77,9,2,0,6.8,20.4,2024-08-18T15:30:00Z,90,False,13,0,0,0,0.0,1,0,3210033,1,2,0,10.0,2,0.0,0.0,0.0,105.0,True,0.0,1.0
Mitoma Kaoru,MID,Brighton,2.3,0,0,27,1,4.1,136,0.04,1.01,0.97,0.45,3,0,1,13.2,48.2,2024-08-17T14:00:00Z,88,False,8,0,0,0,0.0,1,0,164023,1,3,0,80.0,8,0.0,0.0,0.0,65.0,False,0.0,1.0
Boubakary Soumaré,MID,Leicester,0.5,0,0,3,0,0.3,285,0.0,0.0,0.0,0.25,10,0,0,0.1,0.2,2024-08-19T19:00:00Z,11,False,18,0,0,0,0.0,1,0,17951,0,1,1,0.0,1,0.0,0.0,0.0,45.0,True,0.0,1.0
Chris Wood,FWD,Nott'm Forest,2.0,0,3,30,1,5.7,447,0.02,0.73,0.71,0.63,6,0,1,5.9,32.2,2024-08-17T14:00:00Z,71,False,3,0,0,0,0.0,1,0,482451,1,1,1,21.0,9,0.0,0.0,0.0,60.0,True,0.0,1.0
Joe Worrall,DEF,Nott'm Forest,1.9,0,0,0,0,0.0,448,0.0,0.0,0.0,0.0,6,0,0,0.0,0.0,2024-08-17T14:00:00Z,0,False,3,0,0,0,0.0,1,0,5973,0,1,1,0.0,0,0.0,0.0,0.0,45.0,True,0.0,1.0
Jeffrey Schlupp,MID,Crystal Palace,1.6,0,0,0,0,0.0,214,0.0,0.0,0.0,0.0,8,0,0,0.0,0.0,2024-08-18T13:00:00Z,0,False,4,0,0,0,0.0,1,0,9877,0,1,2,0.0,0,0.0,0.0,0.0,50.0,False,0.0,1.0
Milos Kerkez,DEF,Bournemouth,1.9,0,0,5,0,12.7,70,0.01,0.01,0.0,1.3,6,1,0,2.7,12.0,2024-08-17T14:00:00Z,90,False,16,0,0,0,0.0,1,0,40065,1,1,1,2.0,1,0.0,0.0,0.0,45.0,False,1.0,1.0
Adrian Mazilu,MID,Brighton,1.0,0,0,0,0,0.0,133,0.0,0.0,0.0,0.0,3,0,0,0.0,0.0,2024-08-17T14:00:00Z,0,False,8,0,0,0,0.0,1,0,3835,0,3,0,0.0,0,0.0,0.0,0.0,45.0,False,0.0,1.0
Jason Steele,GK,Brighton,2.2,0,1,31,1,0.0,142,0.0,0.0,0.0,0.45,3,0,0,1.9,18.6,2024-08-17T14:00:00Z,90,False,8,0,0,0,0.0,1,1,49675,1,3,0,0.0,7,0.0,0.0,0.0,45.0,False,0.0,1.0
Arijanet Muric,GK,Ipswich,1.2,0,0,0,0,0.0,568,0.0,0.0,0.0,0.0,4,0,0,0.0,0.0,2024-08-17T11:30:00Z,0,False,12,0,0,0,0.0,1,0,39121,0,2,0,0.0,0,0.0,0.0,0.0,45.0,True,0.0,1.0
Carl Rushworth,GK,Brighton,1.0,0,0,0,0,0.0,615,0.0,0.0,0.0,0.0,3,0,0,0.0,0.0,2024-08-17T14:00:00Z,0,False,8,0,0,0,0.0,1,0,0,0,3,0,0.0,0,0.0,0.0,0.0,40.0,False,0.0,1.0
Ibrahim Sangaré,MID,Nott'm Forest,1.0,0,0,13,0,2.5,442,0.01,0.01,0.0,1.22,6,1,0,2.1,14.8,2024-08-17T14:00:00Z,90,False,3,0,0,0,0.0,1,0,185141,1,1,1,4.0,2,0.0,0.0,0.0,45.0,True,0.0,1.0
Hannibal Mejbri,MID,Man Utd,1.0,0,0,0,0,0.0,373,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,2024-08-16T19:00:00Z,0,False,9,0,0,0,0.0,1,0,11598,0,0,1,0.0,0,0.0,0.0,0.0,45.0,True,0.0,1.0
Brandon Austin,GK,Spurs,1.5,0,0,0,0,0.0,479,0.0,0.0,0.0,0.0,10,0,0,0.0,0.0,2024-08-19T19:00:00Z,0,False,11,0,0,0,0.0,1,0,33843,0,1,1,0.0,0,0.0,0.0,0.0,40.0,False,0.0,1.0
Conor Coady,DEF,Leicester,0.0,0,0,0,0,0.0,288,0.0,0.0,0.0,0.0,10,0,0,0.0,0.0,2024-08-19T19:00:00Z,0,False,18,0,0,0,0.0,1,0,24580,0,1,1,0.0,0,0.0,0.0,0.0,40.0,True,0.0,1.0
Wes Foderingham,GK,West Ham,2.2,0,0,0,0,0.0,522,0.0,0.0,0.0,0.0,7,0,0,0.0,0.0,2024-08-17T16:30:00Z,0,False,2,0,0,0,0.0,1,0,14365,0,2,1,0.0,0,0.0,0.0,0.0,45.0,True,0.0,1.0
Armando Broja,FWD,Chelsea,0.7,0,0,0,0,0.0,156,0.0,0.0,0.0,0.0,9,0,0,0.0,0.0,2024-08-18T15:30:00Z,0,False,13,0,0,0,0.0,1,0,7671,0,2,0,0.0,0,0.0,0.0,0.0,55.0,True,0.0,1.0
Adam Webster,DEF,Brighton,1.9,0,0,9,0,0.7,147,0.02,0.02,0.0,0.0,3,0,0,0.8,5.6,2024-08-17T14:00:00Z,14,False,8,0,0,0,0.0,1,0,9097,0,3,0,2.0,1,0.0,0.0,0.0,45.0,False,0.0,1.0
Thomas Partey,MID,Arsenal,2.6,0,0,16,1,43.6,20,0.06,0.12,0.06,0.47,2,0,0,5.9,14.4,2024-08-17T14:00:00Z,90,False,20,0,0,0,0.0,1,0,6975,1,0,2,1.0,3,0.0,0.0,0.0,50.0,True,0.0,1.0
Harry Wilson,MID,Fulham,2.0,0,0,4,0,3.9,259,0.01,0.01,0.0,0.87,1,1,0,0.8,0.2,2024-08-16T19:00:00Z,12,False,14,0,0,0,0.0,1,0,16297,0,0,1,4.0,1,0.0,0.0,0.0,55.0,False,0.0,1.0
Kasey McAteer,MID,Leicester,1.1,0,0,3,0,0.1,299,0.0,0.02,0.02,0.19,10,0,0,0.8,4.2,2024-08-19T19:00:00Z,4,False,18,0,0,0,0.0,1,0,3846,0,1,1,4.0,1,0.0,0.0,0.0,50.0,True,0.0,1.0
Curtis Jones,MID,Liverpool,3.0,0,0,0,0,0.0,324,0.0,0.0,0.0,0.0,4,0,0,0.0,0.0,2024-08-17T11:30:00Z,0,False,10,0,0,0,0.0,1,0,9756,0,2,0,0.0,0,0.0,0.0,0.0,55.0,False,0.0,1.0
Wes Burns,MID,Ipswich,0.6,0,0,-2,0,1.8,264,0.0,0.0,0.0,0.46,4,0,0,0.0,0.0,2024-08-17T11:30:00Z,56,False,12,0,0,0,0.0,1,0,8811,1,2,0,2.0,0,0.0,0.0,0.0,50.0,True,1.0,1.0
Yunus Emre Konak,MID,Brentford,1.0,0,0,0,0,0.0,97,0.0,0.0,0.0,0.0,8,0,0,0.0,0.0,2024-08-18T13:00:00Z,0,False,7,0,0,0,0.0,1,0,5009,0,1,2,0.0,0,0.0,0.0,0.0,45.0,True,0.0,1.0
Max Kilman,DEF,West Ham,1.9,0,0,9,0,11.3,524,0.07,0.07,0.0,2.03,7,2,0,4.5,31.2,2024-08-17T16:30:00Z,90,False,2,0,0,0,0.0,1,0,73980,1,2,1,2.0,1,0.0,0.0,0.0,45.0,True,0.0,1.0
Deniz Undav,FWD,Brighton,0.0,0,0,0,0,0.0,143,0.0,0.0,0.0,0.0,3,0,0,0.0,0.0,2024-08-17T14:00:00Z,0,False,8,0,0,0,0.0,1,0,1930,0,3,0,0.0,0,0.0,0.0,0.0,55.0,False,0.0,1.0
Alex Murphy,DEF,Newcastle,2.0,0,0,0,0,0.0,390,0.0,0.0,0.0,0.0,5,0,0,0.0,0.0,2024-08-17T14:00:00Z,0,False,17,0,0,0,0.0,1,0,69252,0,0,1,0.0,0,0.0,0.0,0.0,40.0,True,0.0,1.0
George Edmundson,DEF,Ipswich,0.0,0,0,0,0,0.0,269,0.0,0.0,0.0,0.0,4,0,0,0.0,0.0,2024-08-17T11:30:00Z,0,False,12,0,0,0,0.0,1,0,15461,0,2,0,0.0,0,0.0,0.0,0.0,40.0,True,0.0,1.0
Sávio 'Savinho' Moreira de Oliveira,MID,Man City,3.3,0,0,8,0,36.4,571,0.16,0.16,0.0,0.3,9,0,0,5.2,11.6,2024-08-18T15:30:00Z,45,False,6,0,0,0,0.0,1,0,37980,1,2,0,4.0,1,0.0,0.0,0.0,65.0,False,0.0,1.0
Emerson Palmieri dos Santos,DEF,West Ham,1.9,0,0,5,0,2.5,520,0.02,0.06,0.04,2.03,7,2,0,2.6,6.6,2024-08-17T16:30:00Z,90,False,2,0,0,0,0.0,1,0,60284,1,2,1,17.0,1,0.0,0.0,0.0,45.0,True,0.0,1.0
Abdoulaye Doucouré,MID,Everton,2.0,0,0,2,0,3.2,217,0.01,0.15,0.14,1.13,3,2,0,1.1,2.4,2024-08-17T14:00:00Z,62,False,5,0,0,0,0.0,1,0,46194,1,3,0,5.0,2,0.0,0.0,0.0,55.0,True,0.0,1.0
José Malheiro de Sá,GK,Wolves,1.2,0,0,10,0,0.0,554,0.0,0.0,0.0,1.24,2,2,0,3.1,31.2,2024-08-17T14:00:00Z,90,False,1,0,0,0,0.0,1,4,205429,1,0,2,0.0,2,0.0,0.0,0.0,45.0,False,0.0,1.0
Alexander Isak,FWD,Newcastle,3.6,1,0,22,1,10.8,401,0.08,0.08,0.0,1.77,5,0,0,4.2,25.6,2024-08-17T14:00:00Z,90,False,17,0,0,0,0.0,1,0,5199017,1,0,1,6.0,5,0.0,0.0,0.0,85.0,True,0.0,1.0
Yves Bissouma,MID,Spurs,0.0,0,0,0,0,0.0,482,0.0,0.0,0.0,0.0,10,0,0,0.0,0.0,2024-08-19T19:00:00Z,0,False,11,0,0,0,0.0,1,0,10961,0,1,1,0.0,0,0.0,0.0,0.0,50.0,False,0.0,1.0
Conor Gallagher,MID,Chelsea,1.2,0,0,0,0,0.0,169,0.0,0.0,0.0,0.0,9,0,0,0.0,0.0,2024-08-18T15:30:00Z,0,False,13,0,0,0,0.0,1,0,80385,0,2,0,0.0,0,0.0,0.0,0.0,60.0,True,0.0,1.0
Philip Billing,MID,Bournemouth,1.6,0,0,1,0,0.0,76,0.0,0.0,0.0,0.26,6,0,0,0.4,2.0,2024-08-17T14:00:00Z,6,False,16,0,0,0,0.0,1,0,6497,0,1,1,2.0,1,0.0,0.0,0.0,50.0,False,0.0,1.0
Gonçalo Manuel Ganchinho Guedes,MID,Wolves,1.0,0,0,0,0,0.0,548,0.0,0.0,0.0,0.0,2,0,0,0.0,0.0,2024-08-17T14:00:00Z,0,False,1,0,0,0,0.0,1,0,7971,0,0,2,0.0,0,0.0,0.0,0.0,55.0,False,0.0,1.0
Brajan Gruda,MID,Brighton,2.0,0,0,0,0,0.0,595,0.0,0.0,0.0,0.0,3,0,0,0.0,0.0,2024-08-17T14:00:00Z,0,False,8,0,0,0,0.0,1,0,2682,0,3,0,0.0,0,0.0,0.0,0.0,55.0,False,0.0,1.0
Rodrigo 'Rodri' Hernandez,MID,Man City,0.0,0,0,0,0,0.0,360,0.0,0.0,0.0,0.0,9,0,0,0.0,0.0,2024-08-18T15:30:00Z,0,False,6,0,0,0,0.0,1,0,443257,0,2,0,0.0,0,0.0,0.0,0.0,65.0,False,0.0,1.0
Đorđe Petrović,GK,Chelsea,1.2,0,0,0,0,0.0,183,0.0,0.0,0.0,0.0,9,0,0,0.0,0.0,2024-08-18T15:30:00Z,0,False,13,0,0,0,0.0,1,0,70701,0,2,0,0.0,0,0.0,0.0,0.0,45.0,True,0.0,1.0
Craig Dawson,DEF,Wolves,0.9,0,0,2,0,0.0,542,0.0,0.0,0.0,0.0,2,0,0,0.2,2.4,2024-08-17T14:00:00Z,6,False,1,0,0,0,0.0,1,0,16382,0,0,2,0.0,1,0.0,0.0,0.0,45.0,False,0.0,1.0
Jordan Ayew,MID,Crystal Palace,2.0,0,0,-5,0,12.8,192,0.01,0.47,0.46,0.95,8,1,0,2.0,0.2,2024-08-18T13:00:00Z,20,False,4,0,0,0,0.0,1,0,40324,0,1,2,7.0,0,0.0,0.0,0.0,55.0,False,1.0,1.0
Marcos Senesi,DEF,Bournemouth,2.4,0,0,0,0,0.0,79,0.0,0.0,0.0,0.0,6,0,0,0.0,0.0,2024-08-17T14:00:00Z,0,False,16,0,0,0,0.0,1,0,91548,0,1,1,0.0,0,0.0,0.0,0.0,50.0,False,0.0,1.0
Kiernan Dewsbury-Hall,MID,Chelsea,1.2,0,0,4,0,1.6,166,0.01,0.01,0.0,0.11,9,1,0,0.4,2.0,2024-08-18T15:30:00Z,24,False,13,0,0,0,0.0,1,0,23669,0,2,0,0.0,1,0.0,0.0,0.0,60.0,True,0.0,1.0
Kaine Kesler-Hayden,DEF,Aston Villa,0.0,0,0,0,0,0.0,43,0.0,0.0,0.0,0.0,7,0,0,0.0,0.0,2024-08-17T16:30:00Z,0,False,19,0,0,0,0.0,1,0,2538,0,2,1,0.0,0,0.0,0.0,0.0,40.0,False,0.0,1.0
João Cavaco Cancelo,DEF,Man City,3.8,0,0,0,0,0.0,353,0.0,0.0,0.0,0.0,9,0,0,0.0,0.0,2024-08-18T15:30:00Z,0,False,6,0,0,0,0.0,1,0,76789,0,2,0,0.0,0,0.0,0.0,0.0,55.0,False,0.0,1.0
Maxwel Cornet,MID,West Ham,1.6,0,0,0,0,0.0,515,0.0,0.0,0.0,0.0,7,0,0,0.0,0.0,2024-08-17T16:30:00Z,0,False,2,0,0,0,0.0,1,0,2853,0,2,1,0.0,0,0.0,0.0,0.0,50.0,True,0.0,1.0
Jefferson Lerma Solís,MID,Crystal Palace,1.6,0,0,7,0,14.4,206,0.32,0.32,0.0,0.95,8,1,0,1.8,3.4,2024-08-18T13:00:00Z,16,False,4,0,0,0,0.0,1,0,5376,0,1,2,0.0,1,0.0,0.0,0.0,50.0,False,0.0,1.0
Jannik Vestergaard,DEF,Leicester,0.5,0,0,6,0,0.3,307,0.0,0.0,0.0,1.23,10,1,0,1.6,15.8,2024-08-19T19:00:00Z,90,False,18,0,0,0,0.0,1,0,145212,1,1,1,0.0,2,0.0,0.0,0.0,40.0,True,0.0,1.0
Luke Thomas,DEF,Leicester,0.5,0,0,0,0,0.0,305,0.0,0.0,0.0,0.0,10,0,0,0.0,0.0,2024-08-19T19:00:00Z,0,False,18,0,0,0,0.0,1,0,51407,0,1,1,0.0,0,0.0,0.0,0.0,40.0,True,0.0,1.0
Bruno Borges Fernandes,MID,Man Utd,2.9,0,0,10,1,8.3,366,0.03,1.22,1.19,0.44,1,0,0,7.2,15.0,2024-08-16T19:00:00Z,90,False,9,0,0,0,0.0,1,0,1728175,1,0,1,49.0,3,0.0,0.0,0.0,85.0,True,0.0,1.0
Adam Smith,DEF,Bournemouth,1.9,0,0,8,0,4.5,81,0.01,0.01,0.0,1.02,6,1,0,1.2,7.8,2024-08-17T14:00:00Z,62,False,16,0,0,0,0.0,1,0,14466,1,1,1,0.0,2,0.0,0.0,0.0,45.0,False,0.0,1.0
Miodrag Pivaš,DEF,Newcastle,2.0,0,0,0,0,0.0,574,0.0,0.0,0.0,0.0,5,0,0,0.0,0.0,2024-08-17T14:00:00Z,0,False,17,0,0,0,0.0,1,0,10005,0,0,1,0.0,0,0.0,0.0,0.0,40.0,True,0.0,1.0
Billy Gilmour,MID,Brighton,1.6,0,0,4,0,7.6,124,0.0,0.0,0.0,0.0,3,0,0,0.8,0.4,2024-08-17T14:00:00Z,8,False,8,0,0,0,0.0,1,0,14848,0,3,0,0.0,1,0.0,0.0,0.0,50.0,False,0.0,1.0
Rasmus Højlund,FWD,Man Utd,0.0,0,0,0,0,0.0,375,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,2024-08-16T19:00:00Z,0,False,9,0,0,0,0.0,1,0,63276,0,0,1,0.0,0,0.0,0.0,0.0,70.0,True,0.0,1.0
Callum Wilson,FWD,Newcastle,0.0,0,0,0,0,0.0,421,0.0,0.0,0.0,0.0,5,0,0,0.0,0.0,2024-08-17T14:00:00Z,0,False,17,0,0,0,0.0,1,0,8597,0,0,1,0.0,0,0.0,0.0,0.0,70.0,True,0.0,1.0
Crysencio Summerville,MID,West Ham,2.2,0,0,9,0,29.4,587,0.17,0.17,0.0,0.27,7,1,0,4.4,8.2,2024-08-17T16:30:00Z,17,False,2,0,0,0,0.0,1,0,86458,0,2,1,6.0,1,0.0,0.0,0.0,60.0,True,0.0,1.0
Jesurun Rak-Sakyi,MID,Crystal Palace,1.0,0,0,0,0,0.0,213,0.0,0.0,0.0,0.0,8,0,0,0.0,0.0,2024-08-18T13:00:00Z,0,False,4,0,0,0,0.0,1,0,20807,0,1,2,0.0,0,0.0,0.0,0.0,45.0,False,0.0,1.0
Oliver Skipp,MID,Spurs,2.1,0,0,0,0,0.0,501,0.0,0.0,0.0,0.0,10,0,0,0.0,0.0,2024-08-19T19:00:00Z,0,False,11,0,0,0,0.0,1,0,3601,0,1,1,0.0,0,0.0,0.0,0.0,50.0,False,0.0,1.0
Tomáš Souček,MID,West Ham,1.6,1,0,8,0,20.8,530,0.12,1.22,1.1,2.03,7,2,0,5.9,3.4,2024-08-17T16:30:00Z,90,False,2,0,0,0,0.0,1,0,210697,1,2,1,35.0,5,0.0,0.0,0.0,50.0,True,0.0,1.0
Taylor Harwood-Bellis,DEF,Southampton,0.0,0,0,6,0,14.0,461,0.02,0.02,0.0,0.25,5,1,0,3.8,17.6,2024-08-17T14:00:00Z,90,False,15,0,0,0,0.0,1,0,934150,1,0,1,6.0,1,0.0,0.0,0.0,40.0,False,1.0,1.0
Alphonse Areola,GK,West Ham,2.2,0,0,5,0,0.0,513,0.0,0.0,0.0,2.03,7,2,0,1.0,10.0,2024-08-17T16:30:00Z,90,False,2,0,0,0,0.0,1,1,858916,1,2,1,0.0,1,0.0,0.0,0.0,45.0,True,0.0,1.0
Lisandro Martínez,DEF,Man Utd,1.9,0,1,26,1,11.9,380,0.02,0.02,0.0,0.44,1,0,0,3.1,19.4,2024-08-16T19:00:00Z,90,False,9,0,0,0,0.0,1,0,403535,1,0,1,0.0,7,0.0,0.0,0.0,45.0,True,0.0,1.0
Richarlison de Andrade,FWD,Spurs,2.7,0,0,-1,0,1.0,497,0.0,0.19,0.19,0.06,10,0,0,0.7,0.0,2024-08-19T19:00:00Z,1,False,11,0,0,0,0.0,1,0,94269,0,1,1,7.0,1,0.0,0.0,0.0,70.0,False,0.0,1.0
Joško Gvardiol,DEF,Man City,4.2,0,1,30,1,3.3,350,0.02,0.05,0.03,1.01,9,0,0,3.2,23.2,2024-08-18T15:30:00Z,90,False,6,0,0,0,0.0,1,0,2793191,1,2,0,5.0,7,0.0,0.0,0.0,60.0,False,0.0,1.0
Harry Clarke,DEF,Ipswich,0.0,0,0,0,0,0.0,266,0.0,0.0,0.0,0.0,4,0,0,0.0,0.0,2024-08-17T11:30:00Z,0,False,12,0,0,0,0.0,1,0,3114,0,2,0,0.0,0,0.0,0.0,0.0,40.0,True,0.0,1.0
Joachim Andersen,DEF,Crystal Palace,1.9,0,0,3,0,2.9,191,0.02,0.06,0.04,1.59,8,2,0,2.8,18.4,2024-08-18T13:00:00Z,90,False,4,0,0,0,0.0,1,0,1762243,1,1,2,7.0,0,0.0,0.0,0.0,45.0,False,1.0,1.0
Moisés Caicedo Corozo,MID,Chelsea,0.6,0,0,12,0,28.3,157,0.06,0.09,0.03,0.77,9,2,0,4.2,11.6,2024-08-18T15:30:00Z,90,False,13,0,0,0,0.0,1,0,57062,1,2,0,2.0,1,0.0,0.0,0.0,50.0,True,1.0,1.0
Carlos Henrique Casimiro,MID,Man Utd,1.6,0,0,19,1,39.9,368,0.5,0.66,0.16,0.44,1,0,0,8.0,26.8,2024-08-16T19:00:00Z,90,False,9,0,0,0,0.0,1,0,39317,1,0,1,13.0,3,0.0,0.0,0.0,50.0,True,0.0,1.0
Jhon Durán,FWD,Aston Villa,2.0,0,1,30,0,2.1,38,0.0,0.38,0.38,1.17,7,0,1,6.0,34.4,2024-08-17T16:30:00Z,28,False,19,0,0,0,0.0,1,0,23567,0,2,1,23.0,6,0.0,0.0,0.0,60.0,False,0.0,1.0
Jacob Murphy,MID,Newcastle,3.0,0,0,9,0,0.9,402,0.01,0.01,0.0,0.2,5,0,0,0.6,5.0,2024-08-17T14:00:00Z,29,False,17,0,0,0,0.0,1,0,193533,1,0,1,0.0,1,0.0,0.0,0.0,55.0,True,0.0,1.0
Sean Longstaff,MID,Newcastle,2.6,0,0,11,1,1.3,410,0.01,0.01,0.0,1.77,5,0,0,1.5,9.4,2024-08-17T14:00:00Z,90,False,17,0,0,0,0.0,1,0,103817,1,0,1,4.0,3,0.0,0.0,0.0,50.0,True,0.0,1.0
Leander Dendoncker,MID,Aston Villa,1.0,0,0,0,0,0.0,33,0.0,0.0,0.0,0.0,7,0,0,0.0,0.0,2024-08-17T16:30:00Z,0,False,19,0,0,0,0.0,1,0,82976,0,2,1,0.0,0,0.0,0.0,0.0,45.0,False,0.0,1.0
Trevoh Chalobah,DEF,Chelsea,0.9,0,0,0,0,0.0,159,0.0,0.0,0.0,0.0,9,0,0,0.0,0.0,2024-08-18T15:30:00Z,0,False,13,0,0,0,0.0,1,0,15983,0,2,0,0.0,0,0.0,0.0,0.0,45.0,True,0.0,1.0
Ryan Manning,DEF,Southampton,0.9,0,0,0,0,0.0,467,0.0,0.0,0.0,0.0,5,0,0,0.0,0.0,2024-08-17T14:00:00Z,0,False,15,0,0,0,0.0,1,0,6978,0,0,1,0.0,0,0.0,0.0,0.0,45.0,False,0.0,1.0
Vitalii Mykolenko,DEF,Everton,1.9,0,0,-5,0,1.2,231,0.0,0.0,0.0,1.43,3,3,0,0.8,4.8,2024-08-17T14:00:00Z,90,False,5,0,0,0,0.0,1,0,854973,1,3,0,2.0,1,0.0,0.0,0.0,45.0,True,0.0,1.0
Ryan Christie,MID,Bournemouth,1.6,0,0,5,0,1.1,63,0.01,0.01,0.0,0.28,6,0,0,0.7,3.6,2024-08-17T14:00:00Z,27,False,16,0,0,0,0.0,1,0,22131,0,1,1,2.0,1,0.0,0.0,0.0,50.0,False,0.0,1.0
Fábio Silva,FWD,Wolves,0.4,0,0,0,0,0.0,545,0.0,0.0,0.0,0.0,2,0,0,0.0,0.0,2024-08-17T14:00:00Z,0,False,1,0,0,0,0.0,1,0,27869,0,0,2,0.0,0,0.0,0.0,0.0,50.0,False,0.0,1.0
Kepa Arrizabalaga,GK,Chelsea,1.2,0,0,0,0,0.0,152,0.0,0.0,0.0,0.0,9,0,0,0.0,0.0,2024-08-18T15:30:00Z,0,False,13,0,0,0,0.0,1,0,27495,0,2,0,0.0,0,0.0,0.0,0.0,45.0,True,0.0,1.0
Frank Onyeka,MID,Brentford,1.6,0,0,2,0,0.0,102,0.0,0.0,0.0,0.56,8,0,0,0.0,0.0,2024-08-18T13:00:00Z,6,False,7,0,0,0,0.0,1,0,3770,0,1,2,0.0,1,0.0,0.0,0.0,50.0,True,0.0,1.0
Youssef Ramalho Chermiti,FWD,Everton,0.0,0,0,0,0,0.0,237,0.0,0.0,0.0,0.0,3,0,0,0.0,0.0,2024-08-17T14:00:00Z,0,False,5,0,0,0,0.0,1,0,1528,0,3,0,0.0,0,0.0,0.0,0.0,50.0,True,0.0,1.0
Morgan Gibbs-White,MID,Nott'm Forest,2.3,0,0,8,0,41.3,433,0.07,0.17,0.1,1.22,6,1,0,6.5,9.8,2024-08-17T14:00:00Z,90,False,3,0,0,0,0.0,1,0,430423,1,1,1,14.0,2,0.0,0.0,0.0,65.0,True,0.0,1.0
Noni Madueke,MID,Chelsea,1.3,0,0,0,0,0.0,177,0.0,0.0,0.0,0.0,9,0,0,0.0,0.0,2024-08-18T15:30:00Z,0,False,13,0,0,0,0.0,1,0,36421,0,2,0,0.0,0,0.0,0.0,0.0,65.0,True,0.0,1.0
